EmptyActivityLifecycleCallbacks   ,android.arch.lifecycle.EmptyActivityLifecycleCallbacks                 ,androidx.lifecycle.EmptyActivityLifecycleCallbacks                    ,  ,AndroidX.Lifecycle.EmptyActivityLifecycleCallbacks                    ,android.arch.lifecycle                      ,androidx.lifecycle,  ,AndroidX.Lifecycle
Barrier                           ,android.support.constraint.Barrier                                     ,androidx.constraintlayout.widget.Barrier                              ,  ,AndroidX.ConstraintLayout.Widget.Barrier                              ,android.support.constraint                  ,androidx.constraintlayout.widget,  ,AndroidX.ConstraintLayout.Widget
ConstraintHelper                  ,android.support.constraint.ConstraintHelper                            ,androidx.constraintlayout.widget.ConstraintHelper                     ,  ,AndroidX.ConstraintLayout.Widget.ConstraintHelper                     ,android.support.constraint                  ,androidx.constraintlayout.widget,  ,AndroidX.ConstraintLayout.Widget
ConstraintLayout                  ,android.support.constraint.ConstraintLayout                            ,androidx.constraintlayout.widget.ConstraintLayout                     ,  ,AndroidX.ConstraintLayout.Widget.ConstraintLayout                     ,android.support.constraint                  ,androidx.constraintlayout.widget,  ,AndroidX.ConstraintLayout.Widget
Constraints                       ,android.support.constraint.Constraints                                 ,androidx.constraintlayout.widget.Constraints                          ,  ,AndroidX.ConstraintLayout.Widget.Constraints                          ,android.support.constraint                  ,androidx.constraintlayout.widget,  ,AndroidX.ConstraintLayout.Widget
ConstraintSet                     ,android.support.constraint.ConstraintSet                               ,androidx.constraintlayout.widget.ConstraintSet                        ,  ,AndroidX.ConstraintLayout.Widget.ConstraintSet                        ,android.support.constraint                  ,androidx.constraintlayout.widget,  ,AndroidX.ConstraintLayout.Widget
Group                             ,android.support.constraint.Group                                       ,androidx.constraintlayout.widget.Group                                ,  ,AndroidX.ConstraintLayout.Widget.Group                                ,android.support.constraint                  ,androidx.constraintlayout.widget,  ,AndroidX.ConstraintLayout.Widget
Guideline                         ,android.support.constraint.Guideline                                   ,androidx.constraintlayout.widget.Guideline                            ,  ,AndroidX.ConstraintLayout.Widget.Guideline                            ,android.support.constraint                  ,androidx.constraintlayout.widget,  ,AndroidX.ConstraintLayout.Widget
Placeholder                       ,android.support.constraint.Placeholder                                 ,androidx.constraintlayout.widget.Placeholder                          ,  ,AndroidX.ConstraintLayout.Widget.Placeholder                          ,android.support.constraint                  ,androidx.constraintlayout.widget,  ,AndroidX.ConstraintLayout.Widget
ArrayLinkedVariables              ,android.support.constraint.solver.ArrayLinkedVariables                 ,androidx.constraintlayout.solver.ArrayLinkedVariables                 ,  ,AndroidX.ConstraintLayout.Solver.ArrayLinkedVariables                 ,android.support.constraint.solver           ,androidx.constraintlayout.solver,  ,AndroidX.ConstraintLayout.Solver
ArrayRow                          ,android.support.constraint.solver.ArrayRow                             ,androidx.constraintlayout.solver.ArrayRow                             ,  ,AndroidX.ConstraintLayout.Solver.ArrayRow                             ,android.support.constraint.solver           ,androidx.constraintlayout.solver,  ,AndroidX.ConstraintLayout.Solver
Cache                             ,android.support.constraint.solver.Cache                                ,androidx.constraintlayout.solver.Cache                                ,  ,AndroidX.ConstraintLayout.Solver.Cache                                ,android.support.constraint.solver           ,androidx.constraintlayout.solver,  ,AndroidX.ConstraintLayout.Solver
GoalRow                           ,android.support.constraint.solver.GoalRow                              ,androidx.constraintlayout.solver.GoalRow                              ,  ,AndroidX.ConstraintLayout.Solver.GoalRow                              ,android.support.constraint.solver           ,androidx.constraintlayout.solver,  ,AndroidX.ConstraintLayout.Solver
LinearSystem                      ,android.support.constraint.solver.LinearSystem                         ,androidx.constraintlayout.solver.LinearSystem                         ,  ,AndroidX.ConstraintLayout.Solver.LinearSystem                         ,android.support.constraint.solver           ,androidx.constraintlayout.solver,  ,AndroidX.ConstraintLayout.Solver
Metrics                           ,android.support.constraint.solver.Metrics                              ,androidx.constraintlayout.solver.Metrics                              ,  ,AndroidX.ConstraintLayout.Solver.Metrics                              ,android.support.constraint.solver           ,androidx.constraintlayout.solver,  ,AndroidX.ConstraintLayout.Solver
SolverVariable                    ,android.support.constraint.solver.SolverVariable                       ,androidx.constraintlayout.solver.SolverVariable                       ,  ,AndroidX.ConstraintLayout.Solver.SolverVariable                       ,android.support.constraint.solver           ,androidx.constraintlayout.solver,  ,AndroidX.ConstraintLayout.Solver
Analyzer                          ,android.support.constraint.solver.widgets.Analyzer                     ,androidx.constraintlayout.solver.widgets.Analyzer                     ,  ,AndroidX.ConstraintLayout.Solver.Widgets.Analyzer                     ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
Barrier                           ,android.support.constraint.solver.widgets.Barrier                      ,androidx.constraintlayout.solver.widgets.Barrier                      ,  ,AndroidX.ConstraintLayout.Solver.Widgets.Barrier                      ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ChainHead                         ,android.support.constraint.solver.widgets.ChainHead                    ,androidx.constraintlayout.solver.widgets.ChainHead                    ,  ,AndroidX.ConstraintLayout.Solver.Widgets.ChainHead                    ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ConstraintAnchor                  ,android.support.constraint.solver.widgets.ConstraintAnchor             ,androidx.constraintlayout.solver.widgets.ConstraintAnchor             ,  ,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintAnchor             ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ConstraintHorizontalLayout        ,android.support.constraint.solver.widgets.ConstraintHorizontalLayout   ,androidx.constraintlayout.solver.widgets.ConstraintHorizontalLayout   ,  ,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintHorizontalLayout   ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ConstraintTableLayout             ,android.support.constraint.solver.widgets.ConstraintTableLayout        ,androidx.constraintlayout.solver.widgets.ConstraintTableLayout        ,  ,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintTableLayout        ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ConstraintWidget                  ,android.support.constraint.solver.widgets.ConstraintWidget             ,androidx.constraintlayout.solver.widgets.ConstraintWidget             ,  ,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintWidget             ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ConstraintWidgetContainer         ,android.support.constraint.solver.widgets.ConstraintWidgetContainer    ,androidx.constraintlayout.solver.widgets.ConstraintWidgetContainer    ,  ,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintWidgetContainer    ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ConstraintWidgetGroup             ,android.support.constraint.solver.widgets.ConstraintWidgetGroup        ,androidx.constraintlayout.solver.widgets.ConstraintWidgetGroup        ,  ,AndroidX.ConstraintLayout.Solver.Widgets.ConstraintWidgetGroup        ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
Guideline                         ,android.support.constraint.solver.widgets.Guideline                    ,androidx.constraintlayout.solver.widgets.Guideline                    ,  ,AndroidX.ConstraintLayout.Solver.Widgets.Guideline                    ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
Helper                            ,android.support.constraint.solver.widgets.Helper                       ,androidx.constraintlayout.solver.widgets.Helper                       ,  ,AndroidX.ConstraintLayout.Solver.Widgets.Helper                       ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
Optimizer                         ,android.support.constraint.solver.widgets.Optimizer                    ,androidx.constraintlayout.solver.widgets.Optimizer                    ,  ,AndroidX.ConstraintLayout.Solver.Widgets.Optimizer                    ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
Rectangle                         ,android.support.constraint.solver.widgets.Rectangle                    ,androidx.constraintlayout.solver.widgets.Rectangle                    ,  ,AndroidX.ConstraintLayout.Solver.Widgets.Rectangle                    ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ResolutionAnchor                  ,android.support.constraint.solver.widgets.ResolutionAnchor             ,androidx.constraintlayout.solver.widgets.ResolutionAnchor             ,  ,AndroidX.ConstraintLayout.Solver.Widgets.ResolutionAnchor             ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ResolutionDimension               ,android.support.constraint.solver.widgets.ResolutionDimension          ,androidx.constraintlayout.solver.widgets.ResolutionDimension          ,  ,AndroidX.ConstraintLayout.Solver.Widgets.ResolutionDimension          ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ResolutionNode                    ,android.support.constraint.solver.widgets.ResolutionNode               ,androidx.constraintlayout.solver.widgets.ResolutionNode               ,  ,AndroidX.ConstraintLayout.Solver.Widgets.ResolutionNode               ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
Snapshot                          ,android.support.constraint.solver.widgets.Snapshot                     ,androidx.constraintlayout.solver.widgets.Snapshot                     ,  ,AndroidX.ConstraintLayout.Solver.Widgets.Snapshot                     ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
WidgetContainer                   ,android.support.constraint.solver.widgets.WidgetContainer              ,androidx.constraintlayout.solver.widgets.WidgetContainer              ,  ,AndroidX.ConstraintLayout.Solver.Widgets.WidgetContainer              ,android.support.constraint.solver.widgets   ,androidx.constraintlayout.solver.widgets,  ,AndroidX.ConstraintLayout.Solver.Widgets
ContentPager                      ,android.support.content.ContentPager                                   ,androidx.contentpager.content.ContentPager                            ,  ,AndroidX.ContentPager.Content.ContentPager                            ,android.support.content                     ,androidx.contentpager.content,  ,AndroidX.ContentPager.Content
LoaderQueryRunner                 ,android.support.content.LoaderQueryRunner                              ,androidx.contentpager.content.LoaderQueryRunner                       ,  ,AndroidX.ContentPager.Content.LoaderQueryRunner                       ,android.support.content                     ,androidx.contentpager.content,  ,AndroidX.ContentPager.Content
Query                             ,android.support.content.Query                                          ,androidx.contentpager.content.Query                                   ,  ,AndroidX.ContentPager.Content.Query                                   ,android.support.content                     ,androidx.contentpager.content,  ,AndroidX.ContentPager.Content
NavigationMenuPresenter           ,android.support.design.internal.NavigationMenuPresenter                ,com.google.android.material.internal.NavigationMenuPresenter          ,  ,Xamarin.Google.Android.Material.Internal.NavigationMenuPresenter      ,android.support.design.internal             ,com.google.android.material.internal,  ,Xamarin.Google.Android.Material.Internal
